title,content
朝食で一日のエンジンON,朝ごはん抜き？それは“今日の背のび”を捨てる行為だ！パンでもご飯でもいい、食え！朝食が君の成長エンジンをかけるんだ！
魚は骨の栄養バンク,魚を食べろ！カルシウムとビタミンDの最強コンビが一気に手に入るんだ。骨は待ってる！君が魚を口にするその瞬間を！
豆類で成長を底上げ,豆腐！納豆！大豆！これぞ“植物のパワー”だ！君の骨も筋肉も大喜びだ！食べれば食べるほど、未来の背が伸びていくぞ！
ビタミンCは隠れた縁の下の力持ち,オレンジやピーマンを食べろ！ビタミンCは骨と血をつなぐ仲人だ！君の体は「ありがとう」って叫ぶぞ！
発酵食品で腸から背を伸ばす,腸が動けば背が伸びる！ヨーグルト！納豆！キムチ！食べれば体が「もっと栄養をくれ！」って燃えるんだ！
間食はおにぎりやチーズ,お菓子でお腹を満たすな！間食はおにぎり！チーズ！それが“骨と筋肉のガソリン”だ！おやつで未来を変えろ！
旬の野菜で栄養満点,旬を食え！今が一番栄養があるんだ！トマトもホウレン草も旬の時期に食べれば、君の背はグンと伸びる！
夕食は寝る3時間前に,夜食いすぎ？それは“成長ホルモン泥棒”だ！寝る3時間前までに食え！そうすれば寝ている間に君の体はぐんぐん成長する！
鉄分は体の酸素タクシー,鉄は“酸素のタクシー”だ！足りなければ骨も筋肉も酸欠だ！レバー！ほうれん草！食べて未来の自分に酸素を届けろ！
水分補給は食事中にも,水を飲め！ただの水だって侮るな！それは体中に栄養を運ぶ高速道路だ！食事中の一杯が未来の身長を作る！
カルシウムとマグネシウムのバランス,カルシウムばかりに頼るな！相棒はマグネシウムだ！海藻やナッツを食べろ！コンビでこそ骨は本気を出すんだ！
朝フルーツで代謝スイッチON,朝の果物は“体の目覚まし時計”だ！りんご！みかん！バナナ！食べれば君の代謝は全開でスタートするぞ！
油も選び方次第で味方に,油を悪者にするな！いい油を選べ！オリーブオイル！サバ！イワシ！これが細胞を輝かせ、君の背を押し上げる！
卵は完全栄養食品,卵を食べろ！それは“完全食”だ！黄身も白身も全部が君の未来を支えるレンガなんだ！毎日ひとつ！続けろ！
ご飯は腹持ちの良い燃料,米を食え！日本人の燃料だ！腹持ちが良くて、エネルギーがじわじわ湧いてくる！ご飯は君の体のガソリンなんだ！
きのこでビタミン強化,きのこを侮るな！しいたけ！しめじ！全部が骨を応援するビタミンの宝庫だ！地味でも君の背を押してるぞ！
亜鉛は成長ホルモンの潤滑油,亜鉛をとれ！それは“成長ホルモンの油”だ！牡蠣！牛肉！ナッツ！足りなきゃ成長ホルモンは動かない！君の成長は止まっちゃうぞ！
砂糖は控えめに,甘い誘惑に負けるな！砂糖をとりすぎると成長ホルモンはサボるんだ！お菓子はたまのご褒美にしろ！背のびの敵になるな！
カルシウムは1日3回に分けて,カルシウムは“こまめ補給”だ！1回ドカ食いしても無駄だ！朝昼晩で分けろ！骨はその方が喜ぶんだ！
緑黄色野菜で抗酸化パワー,にんじん！かぼちゃ！これが体のサビを防ぐ盾になる！細胞を守って成長成長ホルモンを全力で働かせろ！
牛乳は運動後が効果的,運動した後に牛乳だ！骨も筋肉も「ありがとう！」って叫ぶぞ！その一杯が未来の背を作る！
果物は夜より昼に,果物を食べるなら昼だ！夜に食べたら脂肪に変わる！昼のバナナはエネルギー爆弾！成長期の味方だ！
食物繊維で栄養を届ける,腸を動かせ！食物繊維は“掃除屋”だ！便秘を追い出し、栄養を骨に届ける！キャベツ！きのこ！海藻！食え！
ジュースより果物そのものを,ジュースにだまされるな！果物を丸ごと食べろ！そこにしかない繊維と栄養が君の骨を強くするんだ！
ナッツは少量で効果大,ナッツを食え！たったひとつかみでミネラルの宝庫が手に入る！食べすぎはNGだが、少しで背のびの味方だ！
海藻でミネラル補給,海藻をあなどるな！わかめ！昆布！小さな一杯の味噌汁が骨を強くする栄養爆弾になるんだ！
食事はよく噛んで食べる,噛め！噛め！噛め！よく噛むことで栄養が全身に届く！さらに食べすぎも防げる！背を伸ばしたいなら一口に魂を込めろ！
加工食品の塩分に注意,加工食品ばかり食うな！塩分がカルシウムを外に追い出すんだ！背を伸ばしたいなら、自然の食材を選べ！
旬の果物で自然の恵みを,旬を味わえ！その時期の果物は栄養がギュッと詰まってる！自然のパワーを食べれば君の未来はもっと伸びる！
栄養は毎日の積み重ね,一気に食べても背は伸びない！毎日だ！コツコツ続ける者だけが未来を変えるんだ！食生活の積み重ねが君の背を押す！
