title,content
身長は朝と夜で最大3cm違う,重力で背骨が縮むため。朝に測ると背が高く、夜は少し低くなるという不思議な体の性質。
バスケット選手でも低身長のスターがいる,NBAには160cm台の選手もいて、大活躍した記録がある。背の高さだけが強さじゃない証拠。
猫背だと実際より3〜5cm低く見える,姿勢を正すだけで背が高く見える。写真や集合写真で差が出やすい小ワザ的な豆知識。
子どもの身長は夏に伸びやすい,夏休みにぐんと背が伸びるのは日照時間や運動量が増える影響とされる。
靴のサイズが急に大きくなるのは成長期のサイン,靴がすぐにきつくなるときは、背が伸びている証拠。身長アップの前触れかも。
一卵性双子でも身長差が出ることがある,生活習慣や食事、運動量で2〜3cmの違いがつくケースもある。
背が低いとジェットコースターに乗れない,遊園地のアトラクションには身長制限がある。伸びると楽しめる種類が一気に増える。
身長は遺伝8割と言われるが実際はそうでもない,睡眠・食事・運動で成長の伸び方は大きく変わると研究されている。
背の順で並ぶ文化は日本独特,欧米では背の順整列はほとんどなく、名前順が一般的。日本の学校特有の習慣。
姿勢がいいと写真写りで背が高く見える,モデルの基本は背筋を伸ばすこと。ちょっとした工夫で印象が変わる。
ランドセルが重いと背が伸びにくいという噂,重いランドセルは背骨を圧迫するという説。実際に親の間で広まった都市伝説。
身長計の呼び名は地域でバラバラ,身長計、計測棒、背のび棒など、学校や地域で呼び方が違うちょっとした豆知識。
男女で伸びるピーク時期が全然違う,男子は中2〜中3、女子は小6〜中1で背が伸びやすいピークを迎えることが多い。
小学校の机と椅子は6種類のサイズがある,成長に合わせて変える仕組み。背の高い子は早めに大きいサイズにチェンジする。
サッカー日本代表にも170cm前後の選手は多い,世界で戦う選手でも背が高くなくても活躍できる。
背が高い人はプールのターンが得意,手足が長いので壁に届きやすく有利になることがある。
成長期は1年で10cm以上伸びることもある,制服や靴がすぐ合わなくなるのは成長期あるある。
歯の生えかわりと身長の伸び期は重なる,小学校低学年は歯と体の両方が一気に成長する時期。
保健室の身長計は低めに出ると感じる子が多い,頭をぎゅっと押されるから、縮んで測られた気分になる。
背が高いと雷に打たれやすいという迷信,実際には関係ないけど、昔はよく言われたちょっと怖い言い伝え。
牛乳を寝る前に飲むと背が伸びる,「牛乳＝カルシウム＝骨がのびる」という昔からのジンクス。科学的根拠は薄いけれど、なぜか子どもの間では有名なおまじない。
骨にひびが入ると背が伸びる,「骨が修復するときに成長する」というちょっと怖い噂。実際には危ないのでおすすめできないけれど、昔からささやかれる不思議な説。
成長期に大の字で寝るとよい,布団いっぱいに手足を広げて寝ると、体がまっすぐに伸びやすいと言われる。ぐっすり眠れば成長ホルモンも出るし、気持ち的にも効果がありそう。
雨の日に走ると背が伸びる,「天からの恵みを受けて成長する」という言い伝え。雨に濡れると体が強くなる、と昔の子どもたちは信じていたようです。
ピアノを弾く子は背が伸びる,背筋を伸ばして座るから、姿勢がよくなり体ものびるらしいという説。音楽を楽しみながら成長できるという、親が広めた噂かも。
揺れるつり橋を渡ると背が伸びる,スリルで体がピーンと伸びるから？昔の山里で子どもたちが話していた不思議な言い伝え。今では体験する機会が少ないかも。
竹馬に乗ると背が伸びる,高い場所に慣れると背も伸びるという昔遊び由来の説。竹馬で遊ぶ子はどこかシュッとした印象があるかもしれません。
朝日を浴びながら深呼吸すると伸びる,光と酸素で体がのびのびすると信じられてきた。さわやかな朝の習慣としては悪くないジンクス。
鯉のぼりを見上げると背が伸びる,子どもの日に、鯉のようにぐんぐんのぼるよう願いを込めて。縁起をかつぐ家庭で広まったおまじない的なお話。
電車でつり革につかまると伸びる,毎日背伸びしてつり革に手を伸ばすと、ほんとに大きくなれるかも？という通学あるある的な噂。
満月の夜にジャンプすると伸びる,お月様に届くように思い切り跳ぶと、背も伸びるという神秘的なおまじない。満月の夜にこっそり試した子も多いはず。
床屋で丸刈りにすると背が伸びる,頭が軽くなるから体がのびやすいという昭和の都市伝説。運動部の丸刈り習慣と結びついて広まったかもしれません。
お相撲さんに背中を叩いてもらうと伸びる,大きな人から力を分けてもらえると信じられていた。縁日の相撲大会などで子どもがせがんでいた光景が目に浮かびます。
七夕に『背が高くなりますように』と書くと叶う,短冊に願いを書けば背も伸びると言われた。昔から子どもが素直に願いを書いてきた微笑ましいジンクス。
よく転ぶ子は背が伸びる,地面に近いほど成長が早いという言い伝え。転ぶことが多いのは元気な証拠、とポジティブに捉えられてきた説。
雨の日に裸足で外を走ると伸びる,大地のパワーを吸収できるという昔の言い伝え。ちょっと野性的でワクワクするおまじない。
毎日『背が伸びろ！』と鏡に言う,自己暗示が成長を呼ぶ！？というおまじない。朝のルーティンにしていた子もいたかもしれません。
誕生日の朝に背伸びすると一年伸びる,特別な日の背伸びは効果倍増と言われる。毎年試す子が続出したかもしれない習慣。
おおあくびをすると背が伸びる,背骨がぐーんと引っ張られるから背が伸びると言われた。確かに体が気持ちよく伸びる瞬間。
カエルのようにジャンプすると伸びる,田んぼ遊びから伝わった『カエル体操』。ぴょんぴょん跳ねれば本当に伸びそうな気がする？
